month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,B DIVISION,C,1,Operating Conditions,Other Operating Environment,145
2025-01-01,B DIVISION,C,1,Planned ROW Work,Capital Work - Other Planned ROW,60
2025-01-01,B DIVISION,C,1,Planned ROW Work,Subways Maintenance,77
2025-01-01,B DIVISION,C,1,Planned ROW Work,Work Equipment,29
2025-01-01,B DIVISION,C,1,Police & Medical,Persons on Roadbed,44
2025-01-01,B DIVISION,C,1,Police & Medical,"Public Conduct, Crime, Police Response",309
2025-01-01,B DIVISION,C,1,Police & Medical,Sick/Injured Customer,67
2025-01-01,B DIVISION,C,2,Crew Availability,Crew Availability,9
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,Door-Related,7
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,"Fire, Smoke, Debris",11
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,Other - CE,7
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,Other - Sig,8
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,Propulsion,7
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,Service Delivery,5
2025-01-01,B DIVISION,C,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,2
2025-01-01,B DIVISION,C,2,Operating Conditions,Other Operating Environment,24
2025-01-01,B DIVISION,C,2,Planned ROW Work,Work Equipment,10
2025-01-01,B DIVISION,C,2,Police & Medical,Persons on Roadbed,10
2025-01-01,B DIVISION,C,2,Police & Medical,"Public Conduct, Crime, Police Response",25
2025-01-01,B DIVISION,C,2,Police & Medical,Sick/Injured Customer,8
2025-01-01,B DIVISION,D,1,Crew Availability,Crew Availability,84
2025-01-01,B DIVISION,D,1,External Factors,External Debris on Roadbed,5
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Braking,35
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Door-Related,46
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,"Fire, Smoke, Debris",54
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Other - CE,311
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Other - Sig,182
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Other Infrastructure,13
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Propulsion,18
2025-01-01,B DIVISION,D,1,Infrastructure & Equipment,Rail and Roadbed,47
